S2 Cell,state_name,county_name,Waymo RO Miles
9263828927976046592,California,San Mateo,11474.069015862344
9263828962335784960,California,San Mateo,21985.055323251923
9263828996695523328,California,San Mateo,12268.68245202515
9263829031055261696,California,San Mateo / Santa Clara,20497.50409666256
9263829065415000064,California,San Mateo,9255.550438251821
9263829099774738432,California,San Mateo,1937.2885457846205
9263829237213691904,California,San Mateo,113.63735205129808
9263829271573430272,California,San Mateo / Santa Clara,7183.605614479293
9263829305933168640,California,Santa Clara,27619.017823986338
9263829340292907008,California,Santa Clara,1391.7670468696917
9263830233646104576,California,San Mateo,367.377069732667
9263830302365581312,California,San Mateo,310.75502293870704
9263830336725319680,California,San Mateo,3000.7490025643087
9263830371085058048,California,San Mateo,23018.189496177434
9263830405444796416,California,San Mateo,13599.03185648527
9263830439804534784,California,San Mateo,12732.002286848963
9263830474164273152,California,San Mateo,1796.2397405707843
9263830542883749888,California,San Mateo,1002.3825681953218
9263843049828515840,California,Santa Clara,12683.85053977574
9263843084188254208,California,Santa Clara,2794.9252274085775
9263843118547992576,California,Santa Clara,4.113142994865297
9263843977541451776,California,Santa Clara,1858.2709407810494
9263844011901190144,California,Santa Clara,11469.058964730872
9263844183699881984,California,Santa Clara,61.110950012659856
9263844218059620352,California,Santa Clara,218.12814009098886
9263844252419358720,California,Santa Clara,949.906748324947
9263844286779097088,California,Santa Clara,108.13980895868893
9263844321138835456,California,Santa Clara,72.63041979343411
9263844355498573824,California,Santa Clara,2052.700954314101
9263844389858312192,California,Santa Clara,7012.025423336685
9263844424218050560,California,Santa Clara,5552.664990395896
9263844458577788928,California,Santa Clara,17056.15481723362
9263844492937527296,California,Santa Clara,1388.254424879884
9263844527297265664,California,Santa Clara,5749.029378056917
9263844561657004032,California,Santa Clara,34509.421820160715
9263844596016742400,California,Santa Clara,14609.133800958889
9263844630376480768,California,Santa Clara,18186.02679288702
9263844664736219136,California,Santa Clara,5863.289701647534
9263844699095957504,California,Santa Clara,12927.886936999972
9263844733455695872,California,Santa Clara,16849.829687326608
9263844767815434240,California,Santa Clara,6516.180844038389
9263844802175172608,California,Santa Clara,11055.97731084912
9263844836534910976,California,Santa Clara,14412.165643507462
